product_id,product_title,rating,total_reviews,price,top_reviews
B0GLXW1B5N,Samsung,,17,"2,197","It's a good product I recommend! Read more || Great size and very comfortable to use. I like the design, and it runs fast and smoothly. I was thinking about getting the Ultra, but I’m glad I chose the base model. Read more"
B0FQFN3STJ,"Apple iPhone 17 Pro (256 GB) - Deep Blue [6.3-inch Display with Promotion up to 120Hz, A19 Pro Chip, Breakthrough Battery Life, Pro Fusion Camera System with Center Stage Front Camera]",,29,"1,997","Good  nice  phone Read more || The iPhone 17 Pro feels super premium — camera quality, display brightness, and speed are all top-notch. Battery easily lasts all day. Definitely worth the upgrade for anyone who loves smooth performance. Read more"
